liste,rang,spruch,beschreibung,hinweise,schwarz1,schwarz2,schwarz3,schwarz4,schwarz5,rot1,rot2,rot3,rot4,rot5
Weiße Magie,1,Schutz,"Der Schutzzauber erschafft eine sichtbare Verstärkung der Rüstung. Die Formung kann auf einen selbst oder ein anderes Wesen gewirkt werden. Dabei muss der Formende das Wesen nicht berühren, sondern kann den Zauber bis zu 3m pro Stufe des Zaubernden entfernt wirken. Möchte das Wesen nicht von dem Zauber betroffen sein, dann ist die Formung ein Angriff und damit ein Gezielter Spruch.","Sichtweite, Gezielt","Effekt, Rüstung +1 (aber gesamt nicht > 14)","Dauer, fünf Runden","Betroffen, eine Person","Reichweite, 3m pro Stufe des Formers, Sichtlinie",,"Verst, +1 MP: 1 Rüstung (aber gesamt nicht > 14)","Verst, +1 MP: +1 Runde","Verst, +1 MP: +1 Person","Erw, +3 MP: Der Schutzzauber löst erst aus, wenn der Former innerhalb der nächsten Stunde angegriffen wird.",
Weiße Magie,2,Linderung,"Diese Formung lindert Schmerzen und Erschöpfung. Sie kann weder Blutungen stoppen, Krankheiten heilen oder Vergiftungen behandeln, noch Attributsverluste oder anderes kurieren.",Berührung,"Effekt, TP +1","Betroffen, eine Person",,,,"Verst, +1 MP: +1 TP","Verst, +1 MP: +1 Person","Erw, +30 MP: Sichtverbindung",
Weiße Magie,3,Erkenntnis,"Erhellt die wahre Natur einer Sache. Kann zum Beispiel eingesetzt werden, um Trübungen zu überwinden oder getarnte Gegenstände oder Lebewesen zu erkennen. Die Formung gibt aber auch Geheimnisse der Sache preis. Der Erkenntnispunkt kann als Manöverbonus eingesetzt werden. Ein Manöver ist in jedem Fall notwendig. Die Formung kann auf den Formenden, aber auch auf andere gewirkt werden.",Sichtweite,"Effekt, Erkenntnis +1","Dauer, eine Runde","Betroffen, eine Person",,,"Verst, +1 MP: +1 Erkenntnispunkt","Verst, +1 MP: +1 Runde","Verst, +1 MP: +1 Person",,
Weiße Magie,4,Erschaffung,"Erschafft einen nichtmagischen Gegenstand, wie z. B. einen Schlüssel, einen Wasserbeutel oder einen Pfeil.",Berührung,"Effekt, In einem Wert von 1 TT","Dauer, eine Stunde",,,,"Verst, +1 MP: +1 TT","Verst, +1 MP: +1 Stunde","Erw, +10MP dauerhaft (aber nicht unzerstörbar)",,
Weiße Magie,5,Veränderung,"Verändert einen Gegenstand zum Besseren. Beispielsweise kann mit dieser Formung ein Wagenrad repariert werden, oder eine Tür verstärkt, oder ein Schild ausgebessert oder verbessert werden.","Berührung","Effekt, Veränderung um 10 kg","Dauer, eine Stunde pro Stufe des Formers",,,,"Verst, +1 MP: +10 kg","Verst, +1 MP: +1 Runde","Erw, +10 MP: dauerhaft (aber nicht unzerstörbar)",,
Weiße Magie,6,Schutzraum,"Erschafft einen außerdimensionalen Schutzraum, der nur mit Einwilligung des Formers betreten werden kann. Der Raum bietet den notwendigen Komfort und hat frische Luft und frisches Wasser. Der ideale Ort für Ruhe und Genesung. Wenn der Raum zerstört wird, spuckt er sofort alle Objekte und Wesen aus, die ihm zugeführt wurden.","Berührung","Effekt, Schutzraum für vier Personen","Dauer, eine Stunde",,,,"Verst, +1 MP: Raum für vier weitere Personen","Verst, +1 MP: +1 Stunde","Erw, +10 MP: Sichtverbindung",,
Weiße Magie,7,Schutzwall,"Erschafft einen geraden Wall Er weicht anderer Materie aus, umschließt sie aber nicht. Dieser Wall schützt gegen Angriffe aus einer Richtung.","Sichtweite","Effekt, Verteidigungsbonus +5","Effekt, 5m lang, bis zu 3m hoch","Dauer, eine Runde",,,"Verst, +1 MP: +5 VB (max. VB +10 Gesamt)","Verst, +1 MP: +5 Meter Länge","Verst, +1 MP: +1 Runde","Erw, +10 MP: Former kann den Wall einmal pro Runde verschieben",
Weiße Magie,8,Wissen,"Dies Formung erlaubt Zugang zu begehrtem Wissen. Beispiel: Ein Schloss knacken, eine Schrift entziffern oder ein Wappen erkennen.","Berührung","Effekt, Fertigkeitsbonus +1","Dauer, eine Runde","Betroffen, eine Person",,,"Verst, +1 MP: Fertigkeitsbonus +1 (maximal +5)","Verst, +1 MP: +1 Runde","Verst, +1 MP: +1 Person","Erw, +10 MP: Das nächste nicht absurde (auf Wissen basierende) Manöver gelingt automatisch",
Weiße Magie,9,Reise,"Dieser Spruch öffnet ein Portal, das zu einem anderen Ort führt und Reisen nahezu ohne Zeitverlust erlaubt.","Berührung","Effekt, Reise zu einem bekannten Ort nicht weiter als 1km entfernt","Betroffen, eine Person",,,,"Verst, +1 MP: +1 km Reichweite","Verst, +1 MP: +1 Person","Erw, +30 MP: Die Reise erfolgt lautlos.",,
Weiße Magie,10,Wahre Sicht,"Die Formung erlaubt das Ausspähen eines bekannten und öffentlichen Ortes.","Berührung","Effekt, Ort innerhalb von 20 km Reichweite","Effekt, Ort liegt unter freiem Himmel","Dauer, eine Runde",,,"Verst, +1 MP: +20 km Reichweite","Verst, +10 MP: Ort muss nicht unter freiem Himmel liegen","Verst, +1 MP: +1 Runde","Erw, +40 MP: Der Ort kann privat sein.",
